iter	Passed	Remaining
0	711	497082
1	1169	408196
2	1602	372317
3	2032	353730
4	2474	343932
5	2953	341608
6	3517	348258
7	4070	352138
8	4684	359649
9	5250	362292
10	5763	361022
11	6293	360845
12	6755	356993
13	7192	352415
14	7650	349391
15	8081	345500
16	8575	344548
17	9070	343684
18	9565	342859
19	10006	340219
20	10482	338934
21	10896	335816
22	11332	333569
23	11773	331629
24	12198	329372
25	12656	328107
26	13104	326644
27	13562	325504
28	14017	324343
29	14511	324089
30	14981	323301
31	15449	322501
32	15932	322034
33	16486	322935
34	16938	321825
35	17443	321730
36	17938	321431
37	18360	319862
38	18823	319027
39	19253	317676
40	19700	316644
41	20145	315620
42	20589	314581
43	21034	313605
44	21489	312791
45	21921	311670
46	22396	311168
47	22820	309981
48	23248	308874
49	23664	307644
50	24077	306395
51	24504	305357
52	24927	304308
53	25354	303311
54	25775	302280
55	26201	301313
56	26623	300327
57	27049	299414
58	27474	298492
59	27892	297519
60	28310	296560
61	28737	295713
62	29167	294914
63	29595	294103
64	30018	293261
65	30442	292436
66	30871	291663
67	31295	290866
68	31721	290095
69	32146	289315
70	32579	288628
71	33000	287839
72	33425	287092
73	33844	286304
74	34274	285620
75	34697	284880
76	35112	284090
77	35536	283378
78	35963	282696
79	36394	282060
80	36808	281293
81	37248	280726
82	37734	280504
83	38214	280240
84	38795	280697
85	39341	280880
86	39844	280742
87	40323	280429
88	40791	280038
89	41234	279476
90	41666	278847
91	42141	278499
92	42652	278389
93	43157	278226
94	43681	278181
95	44120	277593
96	44635	277476
97	45104	277067
98	45549	276518
99	46001	276008
100	46442	275437
101	46889	274901
102	47324	274300
103	47775	273791
104	48209	273187
105	48694	272874
106	49315	273310
107	49890	273472
108	50345	272973
109	50773	272329
110	51305	272244
111	51837	272144
112	52355	271971
113	52872	271784
114	53371	271498
115	53930	271509
116	54456	271349
117	54983	271187
118	55473	270842
119	55915	270255
120	56353	269659
121	56782	269019
122	57229	268467
123	57653	267808
124	58087	267202
125	58516	266574
126	58978	266101
127	59605	266363
128	60129	266153
129	60711	266197
130	61264	266101
131	61790	265888
132	62378	265929
133	62921	265773
134	63455	265573
135	63908	265030
136	64392	264619
137	64881	264225
138	65333	263682
139	65805	263221
140	66247	262640
141	66707	262132
142	67143	261531
143	67653	261219
144	68129	260769
145	68604	260321
146	69084	259890
147	69523	259304
148	69946	258662
149	70410	258173
150	70862	257640
151	71286	257007
152	71698	256333
153	72108	255657
154	72529	255022
155	72948	254383
156	73361	253727
157	73770	253061
158	74179	252396
159	74582	251715
160	74987	251045
161	75401	250408
162	75810	249756
163	76222	249118
164	76631	248472
165	77039	247824
166	77439	247157
167	77852	246534
168	78262	245900
169	78667	245258
170	79073	244618
171	79482	243993
172	79881	243337
173	80289	242714
174	80700	242102
175	81109	241484
176	81527	240897
177	81935	240281
178	82379	239774
179	82811	239232
180	83246	238701
181	83686	238184
182	84124	237663
183	84567	237158
184	84995	236608
185	85436	236098
186	85861	235543
187	86290	235004
188	86719	234464
189	87155	233942
190	87584	233406
191	88072	233025
192	88504	232495
193	88930	231952
194	89361	231422
195	89764	230821
196	90178	230251
197	90581	229657
198	90986	229066
199	91387	228467
200	91782	227857
201	92190	227281
202	92594	226695
203	92997	226112
204	93397	225520
205	93792	224920
206	94200	224351
207	94598	223761
208	95006	223196
209	95406	222614
210	95809	222040
211	96223	221496
212	96619	220909
213	97020	220336
214	97434	219794
215	97849	219254
216	98251	218687
217	98649	218114
218	99051	217551
219	99450	216982
220	99858	216434
221	100263	215883
222	100671	215337
223	101079	214793
224	101482	214241
225	101883	213683
226	102282	213127
227	102692	212592
228	103112	212079
229	103522	211546
230	103925	211000
231	104334	210467
232	104733	209916
233	105140	209381
234	105561	208877
235	105977	208361
236	106376	207815
237	106811	207340
238	107241	206854
239	107642	206315
240	108046	205781
241	108450	205249
242	108856	204721
243	109266	204202
244	109669	203672
245	110072	203141
246	110476	202614
247	110881	202090
248	111288	201570
249	111694	201049
250	112094	200519
